0	UNR	A cat	high up 	1 2	7 8	1
0	UNR	standing	high up 	3	7 8	1
0	UNR	on tree branches	high up 	4 5 6	7 8	1
0	UNR	at the marina	on the sea 	7 8 9	4 5 6	2
0	UNR	at the marina	A large boat 	7 8 9	1 2 3	2
0	UNR	a horse	in a pen 	4 5	6 7 8	5
0	UNR	riding	in a pen 	3	6 7 8	5
0	UNR	A jockey	in a pen 	1 2	6 7 8	5
0	UNR	A man	in a chair 	1 2	4 5 6	7
0	UNR	sleeps	in a chair 	3	4 5 6	7
0	UNR	with a baby in his lap	in a chair 	4 5 6 7 8 9	4 5 6	7
0	UNR	on it	A group 	11 12	1 2	11
0	UNR	on it	with food and beer 	11 12	9 10 11 12	11
0	UNR	on it	around a table 	11 12	6 7 8	11
0	UNR	on it	of people 	11 12	3 4	11
0	UNR	on it	sit 	11 12	5	11
0	UNR	stands	in a green field 	4	4 5 6 7	12
0	UNR	stands	A brown horse 	4	1 2 3	12
0	UNR	in a cluttered room	in a bed 	4 5 6 7	4 5 6	15
0	UNR	sitting	in a bed 	3	4 5 6	15
0	UNR	A man	in a bed 	1 2	4 5 6	15
0	UNR	with a beer	Two women 	4 5 6	1 2	17
0	UNR	with a beer	laughing 	4 5 6	5	17
0	UNR	with a beer	sitting 	4 5 6	3	17
0	UNR	with a beer	outside 	4 5 6	4	17
0	UNR	in grass	with trees behind 	6 7	11 12 13	19
0	UNR	standing	with trees behind 	5	11 12 13	19
0	UNR	Brown and white cow	with trees behind 	1 2 3 4	11 12 13	19
0	UNR	at side	in a grassy area 	8 9	7 8 9 10	19
0	UNR	at side	standing 	8 9	6	19
0	UNR	at side	A brown and white cow 	8 9	1 2 3 4 5	19
0	UNR	of road	in a grassy area 	10 11	7 8 9 10	19
0	UNR	of road	standing 	10 11	6	19
0	UNR	of road	A brown and white cow 	10 11	1 2 3 4 5	19
0	UNR	in a pen	a horse 	6 7 8	4 5	20
0	UNR	in a pen	rides 	6 7 8	3	20
0	UNR	in a pen	A jockey 	6 7 8	1 2	20
0	UNR	a horse	at a gallop 	4 5	6 7 8	20
0	UNR	riding	at a gallop 	3	6 7 8	20
0	UNR	A jockey	at a gallop 	1 2	6 7 8	20
0	UNR	rides	on a path 	6	10 11 12	21
0	UNR	wearing	on a path 	3	10 11 12	21
0	UNR	A person	on a path 	1 2	10 11 12	21
0	UNR	a bike	on a path 	7 8	10 11 12	21
0	UNR	a helmet	on a path 	4 5	10 11 12	21
0	UNR	near a white structure	rides 	9 10 11 12	7	21
0	UNR	near a white structure	wearing 	9 10 11 12	3	21
0	UNR	near a white structure	A person 	9 10 11 12	1 2	21
0	UNR	near a white structure	a bike 	9 10 11 12	8 9	21
0	UNR	near a white structure	a bike helmet 	9 10 11 12	4 5 6	21
0	UNR	rides	through trees 	6	13 14	21
0	UNR	wearing	through trees 	3	13 14	21
0	UNR	A person	through trees 	1 2	13 14	21
0	UNR	a bike	through trees 	7 8	13 14	21
0	UNR	a helmet	through trees 	4 5	13 14	21
0	UNR	sits	with a bicycle 	8	8 9 10	23
0	UNR	sits	a bike helmet 	8	5 6 7	23
0	UNR	sits	in the background 	8	11 12 13	23
0	UNR	sits	A young girl 	8	1 2 3	23
